"Spanish","Picture","English","Audio","Ranking","tags","deck"
"absoluto (adj)","<img src=""paste-4562608183050241.jpg"" />","absolute","[sound:yandex-ed786d1b-be3786b7-8c793710-a9852788-0ac15d82.mp3]","574"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"actual (adj)","<img src=""paste-152454159138817.jpg"" />","current (adj)","[sound:yandex-ef6e5c52-bbef6262-893468bd-45560a4d-008acf29.mp3]","676"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"adecuado (adj)","<img src=""paste-139895674765313.jpg"" />","adequate, suitable","[sound:yandex-e1555468-2330294c-3eda397c-11c5a5b4-65d90403.mp3]","948"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"alemán (adj)","<img src=""paste-657787126284289.jpg"" />","German","[sound:yandex-d5e1e0a3-b3933244-e0c7bbe8-32a8e9d3-37b604df.mp3]","963"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"amplio (adj)","<img src=""paste-1060178317279233.jpg"" />","wide, ample, broad","[sound:yandex-4f2c947a-053c11e8-252e58c4-ac7a86eb-649436cd.mp3]","763"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"azul (adj)","<img src=""paste-4464219072233473.jpg"" />","blue","[sound:yandex-9dcedf6c-5dd70792-6f4c1d07-4124b4ec-17745e8d.mp3]","904"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"cercano (adj)","<img src=""paste-562348657999873.jpg"" />","near","[sound:yandex-9de610b2-8b441722-991aa2db-ce88a1a6-08ba0c66.mp3]","942"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"cerrado (adj)","<img src=""paste-25211458027521.jpg"" />","closed","[sound:yandex-9c70185b-58e36b24-00205989-ea8221e6-e3bbf513.mp3]","680"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"civil (adj)","<img src=""paste-4512344180785153.jpg"" />","civil (adj)","[sound:yandex-137a38bb-ddbf1365-51d7d703-429a073e-062097f0.mp3]","774"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"concreto (adj)","<img src=""paste-259888471080961.jpg"" />","concrete, real","[sound:yandex-1d4da478-dbce1e80-3d628e71-9db76e2f-c85bf442.mp3]","909"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"conocido (adj)","<img src=""paste-4566795776163841.jpg"" />","known, well-known","[sound:yandex-a5edc4e4-af58ffed-26b863c3-17d72bf2-c9417890.mp3]","540"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"corriente (nf)","<img src=""paste-630492609118209.jpg"" />","current, flow (nf)","[sound:yandex-3d209bcd-f153295f-b18ff02a-ec5d7cef-04bccac1.mp3]","838"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"corto (adj)","<img src=""paste-4529090258272257.jpg"" />","short, brief","[sound:yandex-b7a6b488-a67ea638-39912ddc-ff3885ff-c95cabe1.mp3]","537"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
